dataset_label_raw,dataset_label_canonical,matched_model_labels_raw
pole vault,pole vault,pole vault
presenting weather forecast,presenting weather forecast,presenting weather forecast
pull ups,pull ups,pull ups
pumping fist,pumping fist,pumping fist
pumping gas,pumping gas,pumping gas
punching bag,punching bag,punching bag
punching person boxing,punching person boxing,punching person (boxing)
push up,push up,push up
pushing car,pushing car,pushing car
pushing cart,pushing cart,pushing cart
pushing wheelchair,pushing wheelchair,pushing wheelchair
reading book,reading book,reading book
reading newspaper,reading newspaper,reading newspaper
recording music,recording music,recording music
riding a bike,riding a bike,riding a bike
riding camel,riding camel,riding camel
riding elephant,riding elephant,riding elephant
riding mechanical bull,riding mechanical bull,riding mechanical bull
riding mountain bike,riding mountain bike,riding mountain bike
riding mule,riding mule,riding mule
riding or walking with horse,riding or walking with horse,riding or walking with horse
riding scooter,riding scooter,riding scooter
riding unicycle,riding unicycle,riding unicycle
ripping paper,ripping paper,ripping paper
robot dancing,robot dancing,robot dancing
rock climbing,rock climbing,rock climbing
rock scissors paper,rock scissors paper,rock scissors paper
roller skating,roller skating,roller skating
running on treadmill,running on treadmill,running on treadmill
sailing,sailing,sailing
salsa dancing,salsa dancing,salsa dancing
sanding floor,sanding floor,sanding floor
scrambling eggs,scrambling eggs,scrambling eggs
scuba diving,scuba diving,scuba diving
setting table,setting table,setting table
shaking hands,shaking hands,shaking hands
shaking head,shaking head,shaking head
sharpening knives,sharpening knives,sharpening knives
sharpening pencil,sharpening pencil,sharpening pencil
shaving head,shaving head,shaving head
shaving legs,shaving legs,shaving legs
shearing sheep,shearing sheep,shearing sheep
shining shoes,shining shoes,shining shoes
shooting basketball,shooting basketball,shooting basketball
shooting goal soccer,shooting goal soccer,shooting goal (soccer)
shot put,shot put,shot put
shoveling snow,shoveling snow,shoveling snow
shredding paper,shredding paper,shredding paper
shuffling cards,shuffling cards,shuffling cards
side kick,side kick,side kick
sign language interpreting,sign language interpreting,sign language interpreting
singing,singing,singing
situp,situp,situp
skateboarding,skateboarding,skateboarding
ski jumping,ski jumping,ski jumping
skiing crosscountry,skiing crosscountry,skiing crosscountry
skiing not slalom or crosscountry,skiing not slalom or crosscountry,skiing (not slalom or crosscountry)
skiing slalom,skiing slalom,skiing slalom
skipping rope,skipping rope,skipping rope
skydiving,skydiving,skydiving
slacklining,slacklining,slacklining
slapping,slapping,slapping
sled dog racing,sled dog racing,sled dog racing
smoking,smoking,smoking
smoking hookah,smoking hookah,smoking hookah
snatch weight lifting,snatch weight lifting,snatch weight lifting
sneezing,sneezing,sneezing
sniffing,sniffing,sniffing
snorkeling,snorkeling,snorkeling
snowboarding,snowboarding,snowboarding
snowkiting,snowkiting,snowkiting
snowmobiling,snowmobiling,snowmobiling
somersaulting,somersaulting,somersaulting
spinning poi,spinning poi,spinning poi
spray painting,spray painting,spray painting
spraying,spraying,spraying
springboard diving,springboard diving,springboard diving
squat,squat,squat
sticking tongue out,sticking tongue out,sticking tongue out
stomping grapes,stomping grapes,stomping grapes
stretching arm,stretching arm,stretching arm
stretching leg,stretching leg,stretching leg
strumming guitar,strumming guitar,strumming guitar
surfing crowd,surfing crowd,surfing crowd
surfing water,surfing water,surfing water
sweeping floor,sweeping floor,sweeping floor
swimming backstroke,swimming backstroke,swimming backstroke
swimming breast stroke,swimming breast stroke,swimming breast stroke
swimming butterfly stroke,swimming butterfly stroke,swimming butterfly stroke
swing dancing,swing dancing,swing dancing
swinging legs,swinging legs,swinging legs
swinging on something,swinging on something,swinging on something
sword fighting,sword fighting,sword fighting
tai chi,tai chi,tai chi
taking a shower,taking a shower,taking a shower
tango dancing,tango dancing,tango dancing
tap dancing,tap dancing,tap dancing
tapping guitar,tapping guitar,tapping guitar
tapping pen,tapping pen,tapping pen
tasting beer,tasting beer,tasting beer
tasting food,tasting food,tasting food
testifying,testifying,testifying
texting,texting,texting
throwing axe,throwing axe,throwing axe
throwing ball,throwing ball,throwing ball
throwing discus,throwing discus,throwing discus
tickling,tickling,tickling
tobogganing,tobogganing,tobogganing
tossing coin,tossing coin,tossing coin
tossing salad,tossing salad,tossing salad
training dog,training dog,training dog
trapezing,trapezing,trapezing
trimming or shaving beard,trimming or shaving beard,trimming or shaving beard
trimming trees,trimming trees,trimming trees
triple jump,triple jump,triple jump
tying bow tie,tying bow tie,tying bow tie
tying knot not on a tie,tying knot not on a tie,tying knot (not on a tie)
tying tie,tying tie,tying tie
unboxing,unboxing,unboxing
unloading truck,unloading truck,unloading truck
using computer,using computer,using computer
using remote controller not gaming,using remote controller not gaming,using remote controller (not gaming)
using segway,using segway,using segway
vault,vault,vault
waiting in line,waiting in line,waiting in line
walking the dog,walking the dog,walking the dog
washing dishes,washing dishes,washing dishes
washing feet,washing feet,washing feet
washing hair,washing hair,washing hair
washing hands,washing hands,washing hands
water skiing,water skiing,water skiing
water sliding,water sliding,water sliding
watering plants,watering plants,watering plants
waxing back,waxing back,waxing back
waxing chest,waxing chest,waxing chest
waxing eyebrows,waxing eyebrows,waxing eyebrows
waxing legs,waxing legs,waxing legs
weaving basket,weaving basket,weaving basket
welding,welding,welding
whistling,whistling,whistling
windsurfing,windsurfing,windsurfing
wrapping present,wrapping present,wrapping present
wrestling,wrestling,wrestling
writing,writing,writing
yawning,yawning,yawning
yoga,yoga,yoga
zumba,zumba,zumba
