raw_label,normalized_label,canonical_label,n_videos
hula_hooping,hula hooping,hula hooping,3
hurdling,hurdling,hurdling,3
hurling_(sport),hurling sport,hurling sport,3
ice_climbing,ice climbing,ice climbing,3
ice_fishing,ice fishing,ice fishing,3
ice_skating,ice skating,ice skating,3
ironing,ironing,ironing,3
javelin_throw,javelin throw,javelin throw,3
jetskiing,jetskiing,jetskiing,3
jogging,jogging,jogging,3
juggling_balls,juggling balls,juggling balls,3
juggling_fire,juggling fire,juggling fire,3
juggling_soccer_ball,juggling soccer ball,juggling soccer ball,3
jumping_into_pool,jumping into pool,jumping into pool,3
jumpstyle_dancing,jumpstyle dancing,jumpstyle dancing,3
kicking_field_goal,kicking field goal,kicking field goal,3
kicking_soccer_ball,kicking soccer ball,kicking soccer ball,3
kissing,kissing,kissing,3
kitesurfing,kitesurfing,kitesurfing,3
knitting,knitting,knitting,3
krumping,krumping,krumping,3
laughing,laughing,laughing,3
laying_bricks,laying bricks,laying bricks,3
long_jump,long jump,long jump,3
lunge,lunge,lunge,3
making_a_cake,making a cake,making a cake,3
making_a_sandwich,making a sandwich,making a sandwich,3
making_bed,making bed,making bed,3
making_jewelry,making jewelry,making jewelry,3
making_pizza,making pizza,making pizza,3
making_snowman,making snowman,making snowman,3
making_sushi,making sushi,making sushi,3
making_tea,making tea,making tea,3
marching,marching,marching,3
massaging_back,massaging back,massaging back,3
massaging_feet,massaging feet,massaging feet,3
massaging_legs,massaging legs,massaging legs,3
massaging_person's_head,massaging person s head,massaging person s head,3
milking_cow,milking cow,milking cow,3
mopping_floor,mopping floor,mopping floor,3
motorcycling,motorcycling,motorcycling,3
moving_furniture,moving furniture,moving furniture,3
mowing_lawn,mowing lawn,mowing lawn,3
news_anchoring,news anchoring,news anchoring,3
opening_bottle,opening bottle,opening bottle,3
opening_present,opening present,opening present,3
paragliding,paragliding,paragliding,3
parasailing,parasailing,parasailing,3
parkour,parkour,parkour,3
passing_American_football_(in_game),passing american football in game,passing american football in game,3
passing_American_football_(not_in_game),passing american football not in game,passing american football not in game,3
peeling_apples,peeling apples,peeling apples,3
peeling_potatoes,peeling potatoes,peeling potatoes,3
petting_animal_(not_cat),petting animal not cat,petting animal not cat,3
petting_cat,petting cat,petting cat,3
picking_fruit,picking fruit,picking fruit,3
planting_trees,planting trees,planting trees,3
plastering,plastering,plastering,3
playing_accordion,playing accordion,playing accordion,3
playing_badminton,playing badminton,playing badminton,3
playing_bagpipes,playing bagpipes,playing bagpipes,3
playing_basketball,playing basketball,playing basketball,3
playing_bass_guitar,playing bass guitar,playing bass guitar,3
playing_cards,playing cards,playing cards,3
playing_cello,playing cello,playing cello,3
playing_chess,playing chess,playing chess,3
playing_clarinet,playing clarinet,playing clarinet,3
playing_controller,playing controller,playing controller,3
playing_cricket,playing cricket,playing cricket,3
playing_cymbals,playing cymbals,playing cymbals,3
playing_didgeridoo,playing didgeridoo,playing didgeridoo,3
playing_drums,playing drums,playing drums,3
playing_flute,playing flute,playing flute,3
playing_guitar,playing guitar,playing guitar,3
playing_harmonica,playing harmonica,playing harmonica,3
playing_harp,playing harp,playing harp,3
playing_ice_hockey,playing ice hockey,playing ice hockey,3
playing_keyboard,playing keyboard,playing keyboard,3
playing_kickball,playing kickball,playing kickball,3
playing_monopoly,playing monopoly,playing monopoly,3
playing_organ,playing organ,playing organ,3
playing_paintball,playing paintball,playing paintball,3
playing_piano,playing piano,playing piano,3
playing_poker,playing poker,playing poker,3
playing_recorder,playing recorder,playing recorder,3
playing_saxophone,playing saxophone,playing saxophone,3
playing_squash_or_racquetball,playing squash or racquetball,playing squash or racquetball,3
playing_tennis,playing tennis,playing tennis,3
playing_trombone,playing trombone,playing trombone,3
playing_trumpet,playing trumpet,playing trumpet,3
playing_ukulele,playing ukulele,playing ukulele,3
playing_violin,playing violin,playing violin,3
playing_volleyball,playing volleyball,playing volleyball,3
playing_xylophone,playing xylophone,playing xylophone,3
pole_vault,pole vault,pole vault,3
presenting_weather_forecast,presenting weather forecast,presenting weather forecast,3
pull_ups,pull ups,pull ups,3
pumping_fist,pumping fist,pumping fist,3
pumping_gas,pumping gas,pumping gas,3
punching_bag,punching bag,punching bag,3
punching_person_(boxing),punching person boxing,punching person boxing,3
push_up,push up,push up,3
pushing_car,pushing car,pushing car,3
pushing_cart,pushing cart,pushing cart,3
pushing_wheelchair,pushing wheelchair,pushing wheelchair,3
reading_book,reading book,reading book,3
reading_newspaper,reading newspaper,reading newspaper,3
recording_music,recording music,recording music,3
riding_a_bike,riding a bike,riding a bike,3
riding_camel,riding camel,riding camel,3
riding_elephant,riding elephant,riding elephant,3
riding_mechanical_bull,riding mechanical bull,riding mechanical bull,3
riding_mountain_bike,riding mountain bike,riding mountain bike,3
riding_mule,riding mule,riding mule,3
riding_or_walking_with_horse,riding or walking with horse,riding or walking with horse,3
riding_scooter,riding scooter,riding scooter,3
riding_unicycle,riding unicycle,riding unicycle,3
ripping_paper,ripping paper,ripping paper,3
robot_dancing,robot dancing,robot dancing,3
rock_climbing,rock climbing,rock climbing,3
rock_scissors_paper,rock scissors paper,rock scissors paper,3
roller_skating,roller skating,roller skating,3
running_on_treadmill,running on treadmill,running on treadmill,3
sailing,sailing,sailing,3
salsa_dancing,salsa dancing,salsa dancing,3
sanding_floor,sanding floor,sanding floor,3
scrambling_eggs,scrambling eggs,scrambling eggs,3
scuba_diving,scuba diving,scuba diving,3
setting_table,setting table,setting table,3
shaking_hands,shaking hands,shaking hands,3
shaking_head,shaking head,shaking head,3
sharpening_knives,sharpening knives,sharpening knives,3
sharpening_pencil,sharpening pencil,sharpening pencil,3
shaving_head,shaving head,shaving head,3
shaving_legs,shaving legs,shaving legs,3
shearing_sheep,shearing sheep,shearing sheep,3
shining_shoes,shining shoes,shining shoes,3
shooting_basketball,shooting basketball,shooting basketball,3
shooting_goal_(soccer),shooting goal soccer,shooting goal soccer,3
shot_put,shot put,shot put,3
shoveling_snow,shoveling snow,shoveling snow,3
shredding_paper,shredding paper,shredding paper,3
shuffling_cards,shuffling cards,shuffling cards,3
side_kick,side kick,side kick,3
sign_language_interpreting,sign language interpreting,sign language interpreting,3
singing,singing,singing,3
situp,situp,situp,3
skateboarding,skateboarding,skateboarding,3
ski_jumping,ski jumping,ski jumping,3
skiing_(not_slalom_or_crosscountry),skiing not slalom or crosscountry,skiing not slalom or crosscountry,3
skiing_crosscountry,skiing crosscountry,skiing crosscountry,3
skiing_slalom,skiing slalom,skiing slalom,3
skipping_rope,skipping rope,skipping rope,3
skydiving,skydiving,skydiving,3
slacklining,slacklining,slacklining,3
slapping,slapping,slapping,3
sled_dog_racing,sled dog racing,sled dog racing,3
smoking,smoking,smoking,3
smoking_hookah,smoking hookah,smoking hookah,3
snatch_weight_lifting,snatch weight lifting,snatch weight lifting,3
sneezing,sneezing,sneezing,3
sniffing,sniffing,sniffing,3
snorkeling,snorkeling,snorkeling,3
snowboarding,snowboarding,snowboarding,3
snowkiting,snowkiting,snowkiting,3
snowmobiling,snowmobiling,snowmobiling,3
somersaulting,somersaulting,somersaulting,3
spinning_poi,spinning poi,spinning poi,3
spray_painting,spray painting,spray painting,3
spraying,spraying,spraying,3
springboard_diving,springboard diving,springboard diving,3
squat,squat,squat,3
sticking_tongue_out,sticking tongue out,sticking tongue out,3
stomping_grapes,stomping grapes,stomping grapes,3
stretching_arm,stretching arm,stretching arm,3
stretching_leg,stretching leg,stretching leg,3
strumming_guitar,strumming guitar,strumming guitar,3
surfing_crowd,surfing crowd,surfing crowd,3
surfing_water,surfing water,surfing water,3
sweeping_floor,sweeping floor,sweeping floor,3
swimming_backstroke,swimming backstroke,swimming backstroke,3
swimming_breast_stroke,swimming breast stroke,swimming breast stroke,3
swimming_butterfly_stroke,swimming butterfly stroke,swimming butterfly stroke,3
swing_dancing,swing dancing,swing dancing,3
swinging_legs,swinging legs,swinging legs,3
swinging_on_something,swinging on something,swinging on something,3
sword_fighting,sword fighting,sword fighting,3
tai_chi,tai chi,tai chi,3
taking_a_shower,taking a shower,taking a shower,3
tango_dancing,tango dancing,tango dancing,3
tap_dancing,tap dancing,tap dancing,3
tapping_guitar,tapping guitar,tapping guitar,3
tapping_pen,tapping pen,tapping pen,3
tasting_beer,tasting beer,tasting beer,3
tasting_food,tasting food,tasting food,3
testifying,testifying,testifying,3
texting,texting,texting,3
throwing_axe,throwing axe,throwing axe,3
throwing_ball,throwing ball,throwing ball,3
throwing_discus,throwing discus,throwing discus,3
tickling,tickling,tickling,3
tobogganing,tobogganing,tobogganing,3
tossing_coin,tossing coin,tossing coin,3
tossing_salad,tossing salad,tossing salad,3
training_dog,training dog,training dog,3
trapezing,trapezing,trapezing,3
trimming_or_shaving_beard,trimming or shaving beard,trimming or shaving beard,3
trimming_trees,trimming trees,trimming trees,3
triple_jump,triple jump,triple jump,3
tying_bow_tie,tying bow tie,tying bow tie,3
tying_knot_(not_on_a_tie),tying knot not on a tie,tying knot not on a tie,3
tying_tie,tying tie,tying tie,3
unboxing,unboxing,unboxing,3
unloading_truck,unloading truck,unloading truck,3
using_computer,using computer,using computer,3
using_remote_controller_(not_gaming),using remote controller not gaming,using remote controller not gaming,3
using_segway,using segway,using segway,3
vault,vault,vault,3
waiting_in_line,waiting in line,waiting in line,3
walking_the_dog,walking the dog,walking the dog,3
washing_dishes,washing dishes,washing dishes,3
washing_feet,washing feet,washing feet,3
washing_hair,washing hair,washing hair,3
washing_hands,washing hands,washing hands,3
water_skiing,water skiing,water skiing,3
water_sliding,water sliding,water sliding,3
watering_plants,watering plants,watering plants,3
waxing_back,waxing back,waxing back,3
waxing_chest,waxing chest,waxing chest,3
waxing_eyebrows,waxing eyebrows,waxing eyebrows,3
waxing_legs,waxing legs,waxing legs,3
weaving_basket,weaving basket,weaving basket,3
welding,welding,welding,3
whistling,whistling,whistling,3
windsurfing,windsurfing,windsurfing,3
wrapping_present,wrapping present,wrapping present,3
wrestling,wrestling,wrestling,3
writing,writing,writing,3
yawning,yawning,yawning,3
yoga,yoga,yoga,3
zumba,zumba,zumba,3
